Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Funicular,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Sunkid Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Aerial tramway/reversible ropeway,Rope tow/beginner lift,People mover,Combined installation (gondola and chair),Cog railway,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing
aletsch-arena-riederalpbettmeralpfiesch-eggishorn,Europe,Switzerland,Lemanic Region,http://www.skiresort.info/ski-resort/aletsch-arena-riederalpbettmeralpfiesch-eggishorn/,2869.0,42.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,60,51,30,Swiss Franc,4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,0.0,0.0,,0.0,,,
alfaierlift-gschnitz,Europe,Austria,Tyrol (Tirol),http://www.skiresort.info/ski-resort/alfaierlift-gschnitz/,1350.0,0.3,0.2,0.0,,,,,,0,0,0,-,1.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0,,0.0,,,,,
alford-snow-sports-centre,Europe,United Kingdom,Scotland,http://www.skiresort.info/ski-resort/alford-snow-sports-centre/,168.0,0.1,0.0,0.0,,,,0.0,,5.50,0,2.85,UK Pound,1.0,1.0,1.5,,,,,,,,,,,,,,,,,,,,,,
alhovuori,Europe,Finland,Southern Finland (Etela-Suomi),http://www.skiresort.info/ski-resort/alhovuori/,150.0,2.0,1.5,0.0,,,0.0,0.0,,0,0,0,-,1.5,1.5,2.4,,,,,,,,,,,,,,,,,0.0,,,,,
alice-hill-park-pembroke,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/alice-hill-park-pembroke/,210.0,1.0,0.5,0.0,,,,0.0,,22,0,18,Canadian Dollar,1.3,1.3,1.5,,,,,,,,,,,,,,,,,,,,,,
allenheads,Europe,United Kingdom,England,http://www.skiresort.info/ski-resort/allenheads/,545.0,1.0,0.0,0.0,,,,,,0,0,0,-,1.3,1.0,1.0,,,,,,,,,,,,,,,,,0.0,,,,,
almaasaberget,Europe,Sweden,Northern Sweden (Norrland),http://www.skiresort.info/ski-resort/almaasaberget/,700.0,2.0,1.2,0.8,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
almblicklifts-strallegg,Europe,Austria,Styria (Steiermark),http://www.skiresort.info/ski-resort/almblicklifts-strallegg/,1003.0,2.0,1.0,0.0,,,,0.0,0.0,22,20.50,15,European Euro,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,
almetjevsk,Europe,Russia,,http://www.skiresort.info/ski-resort/almetjevsk/,236.0,1.0,0.0,0.0,,,0.0,,,0,0,0,-,1.3,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
alpalouka,Europe,Czech Republic,Plzen Region (Plzensky kraj),http://www.skiresort.info/ski-resort/alpalouka/,1010.0,0.9,0.0,0.0,,,,,,360,0,300,Czech koruna,,,,,,,,,,,,,,,,,,,,,,,,,
